iter	Passed	Remaining
239	2309	7312
240	2317	7297
241	2325	7283
242	2333	7269
243	2343	7260
244	2352	7250
245	2361	7238
246	2370	7226
247	2379	7214
248	2388	7202
249	2397	7193
250	2406	7182
251	2416	7171
252	2425	7161
253	2434	7150
254	2444	7141
255	2453	7129
256	2462	7119
257	2471	7107
258	2480	7097
259	2490	7087
260	2498	7075
261	2507	7064
262	2516	7050
263	2525	7041
264	2534	7030
265	2543	7019
266	2552	7007
267	2561	6996
268	2570	6985
269	2579	6974
270	2588	6962
271	2596	6949
272	2605	6937
273	2613	6925
274	2622	6914
275	2630	6901
276	2640	6890
277	2649	6880
278	2657	6868
279	2666	6856
280	2674	6844
281	2684	6833
282	2692	6821
283	2701	6811
284	2710	6798
285	2718	6787
286	2727	6775
287	2735	6763
288	2745	6753
289	2754	6742
290	2762	6731
291	2772	6722
292	2781	6711
293	2790	6701
294	2800	6692
295	2808	6680
296	2817	6669
297	2826	6658
298	2835	6648
299	2844	6636
300	2853	6625
301	2861	6613
302	2870	6603
303	2879	6591
304	2887	6580
305	2896	6570
306	2905	6558
307	2914	6547
308	2922	6536
309	2932	6526
310	2940	6515
311	2949	6504
312	2958	6493
313	2967	6483
314	2976	6471
315	2985	6462
316	2994	6450
317	3002	6439
318	3011	6429
319	3020	6418
320	3029	6407
321	3038	6397
322	3046	6385
323	3055	6375
324	3064	6364
325	3073	6354
326	3083	6345
327	3093	6337
328	3101	6326
329	3110	6314
330	3119	6304
331	3128	6294
332	3136	6283
333	3145	6271
334	3152	6258
335	3161	6248
336	3170	6237
337	3179	6226
338	3188	6216
339	3197	6207
340	3206	6197
341	3215	6187
342	3224	6176
343	3232	6164
344	3241	6153
345	3249	6142
346	3258	6132
347	3267	6122
348	3276	6111
349	3285	6100
350	3293	6089
351	3301	6078
352	3311	6068
353	3319	6058
354	3328	6047
355	3337	6037
356	3345	6026
357	3354	6014
358	3362	6003
359	3370	5992
360	3379	5981
361	3387	5970
362	3395	5958
363	3403	5947
364	3412	5936
365	3421	5926
366	3429	5915
367	3438	5905
368	3447	5895
369	3457	5887
370	3467	5878
371	3476	5868
372	3485	5859
373	3494	5848
374	3502	5837
375	3511	5827
376	3519	5816
377	3527	5805
378	3536	5795
379	3545	5785
380	3555	5777
381	3565	5767
382	3574	5758
383	3583	5747
384	3591	5737
385	3600	5727
386	3608	5716
387	3617	5706
388	3625	5694
389	3634	5684
390	3643	5674
391	3652	5664
392	3660	5654
393	3669	5643
394	3677	5633
395	3686	5622
396	3695	5613
397	3704	5603
398	3713	5592
399	3721	5581
400	3730	5571
401	3738	5561
402	3746	5550
403	3754	5538
404	3763	5528
405	3771	5517
406	3779	5507
407	3788	5496
408	3796	5485
